movie,year,rating,genre,runtime_min,imdb,metascore,votes
Priest,2011.0,PG-13,"['Action', ' Fantasy', ' Horror']",87.0,5.7,41.0,120405.0
Beavis and Butt-Head Do the Universe,2022.0,PG-13,"['Animation', ' Comedy', ' Sci-Fi']",87.0,7.0,70.0,10263.0
Tekken: Bloodline,2022.0,PG-13,"['Animation', ' Action', ' Adventure']",22.0,6.6,,3636.0
Salvation,2017.0,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",43.0,6.9,,22519.0
Apollo 10½: A Space Age Childhood,2022.0,PG-13,"['Animation', ' Adventure', ' Drama']",97.0,7.2,79.0,7783.0
Fullmetal Alchemist,2003.0,PG,"['Animation', ' Action', ' Adventure']",24.0,8.5,,70791.0
The Midnight Gospel,2020.0,NC-17,"['Animation', ' Adventure', ' Comedy']",23.0,8.2,,19204.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991.0,PG,"['Action', ' Adventure', ' Comedy']",88.0,6.0,45.0,56546.0
Mute,2018.0,NC-17,"['Mystery', ' Sci-Fi', ' Thriller']",126.0,5.4,35.0,35644.0
Vanishing Waves,2012.0,NR,"['Romance', ' Sci-Fi', ' Thriller']",124.0,6.0,58.0,2739.0
Timeline,2003.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116.0,5.6,28.0,63537.0
They Cloned Tyrone,2022.0,R,"['Comedy', ' Sci-Fi']",,,,
The Brave Ones,2022.0,PG-13,"['Drama', ' Fantasy', ' Sci-Fi']",45.0,4.9,,354.0
Attack the Block,2011.0,R,"['Action', ' Adventure', ' Comedy']",88.0,6.6,75.0,107271.0
Project Blue Book,2019.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",45.0,7.6,,13154.0
The Survivalist,2015.0,NR,"['Drama', ' Sci-Fi', ' Thriller']",104.0,6.4,80.0,17363.0
Bill & Ted's Bogus Journey,1991.0,PG,"['Adventure', ' Comedy', ' Fantasy']",93.0,6.3,60.0,76489.0
When Worlds Collide,1951.0,G,"['Action', ' Sci-Fi', ' Thriller']",83.0,6.6,,8241.0
Away,2020.0,PG-13,"['Drama', ' Romance', ' Sci-Fi']",50.0,6.6,,24139.0
Resident Evil: Afterlife,2010.0,R,"['Action', ' Horror', ' Sci-Fi']",96.0,5.8,37.0,172263.0
Open Your Eyes,1997.0,R,"['Drama', ' Mystery', ' Sci-Fi']",119.0,7.7,,69560.0
The Vast of Night,2019.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",91.0,6.7,84.0,39567.0
Land of the Dead,2005.0,R,"['Horror', ' Sci-Fi', ' Thriller']",93.0,6.2,71.0,97079.0
Airplane II: The Sequel,1982.0,PG,"['Comedy', ' Sci-Fi']",85.0,6.1,48.0,53174.0
Train,2020.0,,"['Fantasy', ' Mystery', ' Sci-Fi']",60.0,7.9,,880.0
The Passage,2019.0,PG-13,"['Action', ' Adventure', ' Drama']",60.0,7.2,,11795.0
Artemis Fowl,2020.0,PG,"['Adventure', ' Family', ' Fantasy']",95.0,4.2,31.0,28412.0
TMNT,2007.0,PG,"['Animation', ' Action', ' Adventure']",87.0,6.2,41.0,65016.0
Spawn,,,"['Action', ' Adventure', ' Drama']",,,,
Congo,1995.0,PG-13,"['Action', ' Adventure', ' Mystery']",109.0,5.2,22.0,46036.0
Superman III,1983.0,PG,"['Action', ' Adventure', ' Comedy']",125.0,5.0,44.0,70729.0
Moonshot,2022.0,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",104.0,5.6,58.0,5066.0
Zone 414,2021.0,R,"['Sci-Fi', ' Thriller']",98.0,5.0,36.0,4404.0
Apex,2021.0,,"['Action', ' Sci-Fi', ' Thriller']",93.0,2.9,,5082.0
Dragon Ball,1995.0,PG-13,"['Animation', ' Action', ' Adventure']",24.0,8.6,,60026.0
Silent Running,1972.0,G,"['Drama', ' Sci-Fi']",89.0,6.6,67.0,29447.0
The Titan,2018.0,NC-17,"['Drama', ' Mystery', ' Romance']",97.0,4.8,33.0,31582.0
Gamer,2009.0,R,"['Action', ' Sci-Fi', ' Thriller']",95.0,5.7,27.0,135311.0
Spider-Man,2018.0,PG-13,"['Action', ' Adventure', ' Fantasy']",,9.2,,21524.0
The 4400,2004.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",43.0,7.3,,45489.0
Who Am I,2014.0,NR,"['Crime', ' Drama', ' Mystery']",102.0,7.5,,57387.0
Hostile,2017.0,NC-17,"['Drama', ' Horror', ' Romance']",83.0,5.4,,6325.0
Masters of the Universe: Revelation,2021.0,PG,"['Animation', ' Action', ' Adventure']",25.0,5.4,,26821.0
Southland Tales,2006.0,R,"['Comedy', ' Drama', ' Mystery']",145.0,5.3,44.0,39127.0
Altered States,1980.0,R,"['Horror', ' Sci-Fi', ' Thriller']",102.0,6.9,58.0,35735.0
Elfen Lied,2004.0,NC-17,"['Animation', ' Action', ' Drama']",24.0,7.9,,33518.0
Project Hail Mary,,,['Sci-Fi'],,,,
Nausicaä of the Valley of the Wind,1984.0,PG,"['Animation', ' Adventure', ' Sci-Fi']",117.0,8.0,86.0,169173.0
Shin Godzilla,2016.0,NR,"['Action', ' Drama', ' Horror']",120.0,6.8,67.0,28170.0
Osmosis Jones,2001.0,PG,"['Animation', ' Action', ' Adventure']",95.0,6.3,57.0,36373.0
Damnation Alley,1977.0,PG,['Sci-Fi'],91.0,5.2,30.0,5413.0
Rabid,1977.0,R,"['Horror', ' Sci-Fi']",91.0,6.3,56.0,19218.0
Overwatch 2,2022.0,PG-13,"['Action', ' Adventure', ' Fantasy']",,5.9,,177.0
Soldier,1998.0,R,"['Action', ' Drama', ' Sci-Fi']",99.0,6.0,,57049.0
Dogs in Space,2021.0,G,"['Animation', ' Action', ' Adventure']",18.0,7.2,,719.0
The Powerpuff Girls,1998.0,G,"['Animation', ' Action', ' Adventure']",30.0,7.3,,42788.0
Dark Skies,2013.0,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",97.0,6.3,50.0,76407.0
Battlefield Earth,2000.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118.0,2.5,9.0,80368.0
Fahrenheit 451,2018.0,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",100.0,4.9,,20506.0
Frankenweenie,1984.0,PG,"['Short', ' Comedy', ' Horror']",29.0,7.2,,12460.0
To the Lake,2019.0,NC-17,"['Drama', ' Sci-Fi', ' Thriller']",48.0,7.2,,13114.0
Dreamscape,1984.0,PG-13,"['Action', ' Adventure', ' Horror']",99.0,6.3,63.0,16898.0
Kyle XY,2006.0,PG-13,"['Drama', ' Mystery', ' Romance']",60.0,7.5,,29597.0
Life on Mars,2006.0,PG-13,"['Crime', ' Drama', ' Mystery']",60.0,8.4,,30785.0
Cloudy with a Chance of Meatballs 2,2013.0,PG,"['Animation', ' Adventure', ' Comedy']",95.0,6.3,59.0,103687.0
Cosmic Sin,2021.0,R,"['Action', ' Sci-Fi']",88.0,2.5,9.0,13510.0
Beforeigners,2019.0,PG-13,"['Crime', ' Drama', ' Sci-Fi']",45.0,7.8,,11175.0
Justice League,2001.0,PG,"['Animation', ' Action', ' Adventure']",22.0,8.6,,46635.0
Swan Song,2021.0,R,"['Drama', ' Romance', ' Sci-Fi']",112.0,6.8,66.0,14042.0
Mortal Kombat 2,,,"['Action', ' Adventure', ' Fantasy']",,,,
The Rover,2014.0,R,"['Action', ' Crime', ' Drama']",103.0,6.4,64.0,48632.0
Time Bandits,,,"['Adventure', ' Comedy', ' Fantasy']",,,,
Supergirl,1984.0,PG,"['Action', ' Adventure', ' Fantasy']",124.0,4.4,41.0,22338.0
Code 8,2019.0,NR,"['Action', ' Crime', ' Drama']",98.0,6.1,48.0,40240.0
Swamp Thing,1982.0,PG,"['Horror', ' Sci-Fi']",91.0,5.3,50.0,14676.0
Freaks of Nature,2015.0,R,"['Comedy', ' Horror', ' Sci-Fi']",92.0,5.9,,12350.0
Tribes of Europa,2021.0,NC-17,"['Action', ' Adventure', ' Drama']",,6.7,,12340.0
The Secret of NIMH,1982.0,G,"['Animation', ' Adventure', ' Drama']",82.0,7.5,76.0,41612.0
Something in the Dirt,2022.0,R,"['Comedy', ' Horror', ' Sci-Fi']",116.0,6.4,80.0,315.0
The X Files,1998.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",121.0,7.0,60.0,106163.0
House of Dark Shadows,1970.0,PG,"['Drama', ' Fantasy', ' Horror']",97.0,6.3,,3076.0
Repo! The Genetic Opera,2008.0,R,"['Horror', ' Musical', ' Sci-Fi']",98.0,6.4,32.0,25150.0
Quinta Dimensão,1963.0,PG,"['Fantasy', ' Horror', ' Sci-Fi']",51.0,8.1,,8435.0
Freaks,2018.0,R,"['Drama', ' Mystery', ' Sci-Fi']",105.0,6.7,63.0,35742.0
Bad Taste,1987.0,NR,"['Comedy', ' Horror', ' Sci-Fi']",91.0,6.5,52.0,47240.0
City of Ember,2008.0,PG,"['Adventure', ' Family', ' Fantasy']",90.0,6.4,58.0,66289.0
Strong Girl Bong-soon,2017.0,PG-13,"['Comedy', ' Crime', ' Drama']",67.0,8.2,,12589.0
The Greatest American Hero,1981.0,PG-13,"['Adventure', ' Comedy', ' Sci-Fi']",60.0,7.3,,5891.0
DMZ,2022.0,NC-17,"['Action', ' Adventure', ' Drama']",235.0,5.4,,3311.0
The Acolyte,2023.0,,"['Action', ' Adventure', ' Drama']",,,,
Teenage Mutant Ninja Turtles,1987.0,G,"['Animation', ' Action', ' Adventure']",23.0,7.9,,34398.0
Psycho Goreman,2020.0,NR,"['Comedy', ' Horror', ' Sci-Fi']",95.0,6.2,67.0,12881.0
Race to Witch Mountain,2009.0,PG,"['Action', ' Adventure', ' Family']",98.0,5.7,52.0,60144.0
65,2023.0,,"['Adventure', ' Drama', ' Sci-Fi']",,,,
Volcano,1997.0,PG-13,"['Action', ' Drama', ' Sci-Fi']",104.0,5.5,55.0,77256.0
Spectral,2016.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",107.0,6.3,,59736.0
Splinter,2008.0,R,"['Horror', ' Sci-Fi', ' Thriller']",82.0,6.1,58.0,38012.0
Carriers,2009.0,PG-13,"['Action', ' Adventure', ' Drama']",84.0,6.0,,47580.0
Baymax!,2022.0,PG,"['Animation', ' Short', ' Action']",12.0,7.0,,6297.0
Sputnik,2020.0,NR,"['Drama', ' Horror', ' Mystery']",113.0,6.4,61.0,24327.0
The War of the Worlds,2019.0,PG-13,"['Drama', ' History', ' Sci-Fi']",48.0,5.1,,9316.0
Stay Alive,2006.0,PG-13,"['Fantasy', ' Horror', ' Mystery']",85.0,5.0,24.0,32645.0
Midnight Special,2016.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",112.0,6.6,76.0,81060.0
Lab Rats,2012.0,G,"['Action', ' Comedy', ' Drama']",22.0,6.6,,6220.0
Spider-Man: Beyond the Spider-Verse,2024.0,,"['Animation', ' Action', ' Adventure']",,,,
Ben 10: Alien Force,2008.0,G,"['Animation', ' Action', ' Adventure']",22.0,7.3,,10632.0
KILL la KILL,2013.0,PG-13,"['Animation', ' Action', ' Comedy']",25.0,7.9,,14354.0
Infinity Pool,,NC-17,"['Horror', ' Mystery', ' Sci-Fi']",,,,
Justice League Unlimited,2004.0,G,"['Animation', ' Action', ' Adventure']",23.0,8.7,,16220.0
Invasion,2005.0,PG-13,"['Drama', ' Horror', ' Mystery']",60.0,7.5,,12403.0
The Munsters Today,1987.0,,"['Comedy', ' Sci-Fi']",30.0,5.0,,594.0
Mork & Mindy,1978.0,G,"['Comedy', ' Family', ' Sci-Fi']",30.0,7.1,,11507.0
The Thinning,2016.0,NR,"['Action', ' Drama', ' Horror']",81.0,5.3,,9947.0
The Prisoner,1967.0,PG,"['Drama', ' Mystery', ' Sci-Fi']",50.0,8.5,,14105.0
ARK: The Animated Series,2022.0,,"['Animation', ' Action', ' Adventure']",30.0,,,
Songbird,2020.0,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",84.0,4.7,27.0,10261.0
Blade Runner: Black Lotus,2021.0,PG-13,"['Animation', ' Action', ' Drama']",,6.2,,2718.0
Don't Let Go,2019.0,R,"['Drama', ' Horror', ' Mystery']",103.0,6.3,49.0,11101.0
Hamster & Gretel,2022.0,G,"['Animation', ' Action', ' Adventure']",11.0,6.5,,168.0
C.H.U.D.,1984.0,R,"['Horror', ' Sci-Fi']",88.0,5.6,57.0,12819.0
The Batman,2004.0,G,"['Animation', ' Action', ' Adventure']",22.0,7.3,,12017.0
The Boys from Brazil,1978.0,R,"['Drama', ' Mystery', ' Sci-Fi']",125.0,7.0,40.0,28350.0
Cyborg,1989.0,R,"['Action', ' Sci-Fi', ' Thriller']",86.0,5.0,24.0,31713.0
The Nutty Professor,1996.0,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",95.0,5.7,62.0,117577.0
The Jacket,2005.0,R,"['Drama', ' Fantasy', ' Mystery']",103.0,7.1,44.0,114018.0
Village of the Damned,1960.0,NR,"['Horror', ' Sci-Fi']",77.0,7.3,77.0,17478.0
Land of the Lost,1991.0,,"['Adventure', ' Family', ' Comedy']",23.0,6.9,,927.0
Masters of the Universe,2024.0,,"['Action', ' Adventure', ' Drama']",,,,
Overwatch,2016.0,PG-13,"['Action', ' Adventure', ' Fantasy']",,8.4,,5014.0
Seeking a Friend for the End of the World,2012.0,R,"['Adventure', ' Comedy', ' Drama']",101.0,6.7,59.0,114839.0
Star Trek IV: The Voyage Home,1986.0,PG,"['Action', ' Adventure', ' Comedy']",119.0,7.3,71.0,85970.0
Batwheels,2022.0,G,"['Animation', ' Action', ' Adventure']",,7.8,,72.0
Better Off Ted,2009.0,PG,"['Comedy', ' Sci-Fi']",30.0,8.2,,26298.0
The Thirteenth Floor,1999.0,R,"['Mystery', ' Sci-Fi', ' Thriller']",100.0,7.0,36.0,72452.0
Journey to the Center of the Earth,1959.0,G,"['Adventure', ' Family', ' Fantasy']",129.0,7.0,,17819.0
Star Trek: Generations,1994.0,PG,"['Action', ' Adventure', ' Mystery']",118.0,6.6,55.0,82365.0
The Lego Ninjago Movie,2017.0,PG,"['Animation', ' Action', ' Adventure']",101.0,6.0,55.0,26515.0
Assassin's Creed Valhalla,2020.0,PG-13,"['Action', ' Adventure', ' Fantasy']",,8.1,,4299.0
Victor Frankenstein,2015.0,PG-13,"['Drama', ' Horror', ' Sci-Fi']",110.0,5.9,36.0,57181.0
Battlestar Galactica,2003.0,PG-13,"['Action', ' Adventure', ' Drama']",183.0,8.5,,75487.0
Krypton,2018.0,PG-13,"['Action', ' Adventure', ' Drama']",45.0,6.8,,16815.0
Redline,2009.0,NR,"['Animation', ' Action', ' Sci-Fi']",102.0,7.5,,14551.0
Batman: Arkham Knight,2015.0,PG-13,"['Action', ' Adventure', ' Crime']",,9.0,,19360.0
The Space Between Us,2017.0,PG-13,"['Drama', ' Romance', ' Sci-Fi']",120.0,6.4,33.0,53221.0
Ben 10: Omniverse,2012.0,G,"['Animation', ' Action', ' Adventure']",22.0,6.1,,5530.0
Awake,2021.0,NC-17,"['Action', ' Adventure', ' Drama']",96.0,4.9,35.0,21959.0
Trollhunters: Tales of Arcadia,2016.0,G,"['Animation', ' Action', ' Adventure']",23.0,8.4,,17066.0
Code 404,2020.0,,"['Action', ' Comedy', ' Crime']",25.0,6.3,,2127.0
Outlander,2008.0,R,"['Action', ' Adventure', ' Sci-Fi']",115.0,6.2,40.0,75960.0
Escape to Witch Mountain,1975.0,G,"['Adventure', ' Family', ' Fantasy']",97.0,6.3,60.0,10510.0
The Survivalist,2021.0,R,"['Action', ' Sci-Fi', ' Thriller']",91.0,3.5,,1455.0
K-PAX,2001.0,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",120.0,7.4,49.0,184602.0
Tau,2018.0,R,"['Sci-Fi', ' Thriller']",97.0,5.8,43.0,31717.0
The Thinning: New World Order,2018.0,,"['Action', ' Drama', ' Horror']",89.0,3.9,,2391.0
Perfect Sense,2011.0,R,"['Drama', ' Romance', ' Sci-Fi']",92.0,7.0,55.0,60494.0
Cabin Fever,2016.0,R,"['Horror', ' Sci-Fi', ' Thriller']",99.0,3.7,14.0,10258.0
Star Trek III: The Search for Spock,1984.0,PG,"['Action', ' Adventure', ' Sci-Fi']",105.0,6.6,56.0,81075.0
Last Survivors,2021.0,NR,"['Sci-Fi', ' Thriller']",98.0,4.8,,2046.0
The Strange Case of Dr. Jekyll and Miss Osbourne,1981.0,NR,"['Horror', ' Sci-Fi']",91.0,6.1,,1233.0
I'm Your Man,2021.0,R,"['Comedy', ' Drama', ' Romance']",108.0,7.1,78.0,9058.0
Time Trap,2017.0,NR,"['Action', ' Adventure', ' Mystery']",87.0,6.2,46.0,37177.0
Infinity Train,2019.0,PG,"['Animation', ' Action', ' Adventure']",11.0,8.5,,7686.0
The McPherson Tape,1989.0,NR,"['Horror', ' Sci-Fi']",66.0,5.4,,1594.0
Ghosted,2017.0,PG,"['Comedy', ' Crime', ' Horror']",30.0,6.3,,6877.0
THX 1138,1971.0,R,"['Drama', ' Sci-Fi', ' Thriller']",86.0,6.7,75.0,51823.0
UHF,1989.0,PG-13,"['Comedy', ' Sci-Fi']",97.0,6.9,32.0,28940.0
Lexx,1996.0,R,"['Action', ' Adventure', ' Comedy']",90.0,7.3,,8069.0
Virtuosity,1995.0,R,"['Action', ' Crime', ' Sci-Fi']",106.0,5.5,39.0,30439.0
Batman Beyond,1999.0,G,"['Animation', ' Action', ' Adventure']",23.0,8.1,,27868.0
Gotham Knights,2022.0,PG-13,"['Action', ' Adventure', ' Crime']",,,,
Paradise Hills,2019.0,PG-13,"['Fantasy', ' Mystery', ' Sci-Fi']",95.0,5.3,49.0,18535.0
Close Enough,2020.0,PG-13,"['Animation', ' Action', ' Adventure']",23.0,7.8,,11449.0
Misfits of Science,1985.0,,"['Adventure', ' Comedy', ' Sci-Fi']",60.0,7.4,,1118.0
Little Fish,2020.0,NR,"['Drama', ' Romance', ' Sci-Fi']",101.0,6.8,71.0,5425.0
Penguins of Madagascar,2014.0,PG,"['Animation', ' Adventure', ' Comedy']",92.0,6.6,53.0,91328.0
Europa Report,2013.0,PG-13,"['Adventure', ' Drama', ' Mystery']",90.0,6.4,68.0,71657.0
Body Bags,1993.0,R,"['Comedy', ' Horror', ' Sci-Fi']",94.0,6.1,54.0,11004.0
The Manchurian Candidate,2004.0,R,"['Drama', ' Mystery', ' Sci-Fi']",129.0,6.6,76.0,111244.0
My Hero Academia: World Heroes' Mission,2021.0,PG-13,"['Animation', ' Action', ' Adventure']",101.0,7.1,51.0,3975.0
A Guide to Dating at the End of the World,2022.0,,"['Comedy', ' Romance', ' Sci-Fi']",80.0,5.9,,92.0
Replicas,2018.0,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",107.0,5.4,19.0,38785.0
The Lost World,1999.0,PG,"['Action', ' Adventure', ' Romance']",60.0,7.1,,4139.0
The Spectacular Spider-Man,2008.0,G,"['Animation', ' Action', ' Adventure']",23.0,8.3,,15647.0
Mystery Science Theater 3000,1988.0,PG-13,"['Comedy', ' Sci-Fi']",92.0,8.7,,24684.0
Titan A.E.,2000.0,PG,"['Animation', ' Action', ' Adventure']",94.0,6.6,48.0,61547.0
Megaforce,1982.0,PG,"['Action', ' Sci-Fi']",99.0,3.6,18.0,3911.0
Prospect,2018.0,R,"['Adventure', ' Drama', ' Sci-Fi']",100.0,6.3,68.0,28170.0
Stitchers,2015.0,PG-13,"['Crime', ' Drama', ' Sci-Fi']",60.0,6.8,,12902.0
Adventures of Superman,1952.0,G,"['Action', ' Adventure', ' Crime']",30.0,7.7,,3997.0
Stake Land,2010.0,R,"['Drama', ' Horror', ' Sci-Fi']",98.0,6.4,66.0,42804.0
Wonder Woman,2011.0,,"['Action', ' Adventure', ' Fantasy']",45.0,4.2,,2213.0
The Relic,1997.0,R,"['Horror', ' Mystery', ' Sci-Fi']",110.0,5.8,55.0,28041.0
Horizon Zero Dawn,2017.0,PG-13,"['Action', ' Adventure', ' Mystery']",,9.0,,14554.0
Fantastic Planet,1973.0,PG,"['Animation', ' Sci-Fi']",72.0,7.7,73.0,31657.0
Inspector Gadget,1999.0,PG,"['Action', ' Adventure', ' Comedy']",78.0,4.1,36.0,48555.0
The Double,2013.0,R,"['Comedy', ' Drama', ' Mystery']",93.0,6.5,68.0,50686.0
Untitled Ghostbusters Afterlife Sequel,2023.0,,"['Adventure', ' Comedy', ' Fantasy']",,,,
Birds of Prey,2002.0,PG-13,"['Action', ' Adventure', ' Drama']",60.0,6.3,,5213.0
Teenage Mutant Ninja Turtles,2003.0,G,"['Animation', ' Action', ' Adventure']",30.0,7.8,,10732.0
Iwájú,2023.0,G,"['Animation', ' Adventure', ' Drama']",11.0,,,
Pulse,2006.0,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",90.0,4.7,27.0,29563.0
Horror Express,1972.0,R,"['Adventure', ' Horror', ' Sci-Fi']",88.0,6.5,68.0,11190.0
Dexter's Laboratory,1996.0,G,"['Animation', ' Short', ' Adventure']",23.0,7.9,,49065.0
"20,000 Leagues Under the Sea",1954.0,G,"['Adventure', ' Drama', ' Family']",127.0,7.2,83.0,34187.0
The Division,,,"['Action', ' Sci-Fi', ' Thriller']",,,,
Humanoids from the Deep,1980.0,R,"['Horror', ' Sci-Fi']",80.0,5.7,49.0,9385.0
Helix,2014.0,PG,"['Drama', ' Horror', ' Mystery']",40.0,6.7,,29729.0
The Girl with All the Gifts,2016.0,R,"['Action', ' Adventure', ' Drama']",111.0,6.6,67.0,60075.0
The Cave,2005.0,PG-13,"['Adventure', ' Horror', ' Sci-Fi']",97.0,5.1,30.0,39191.0
Flubber,1997.0,PG,"['Comedy', ' Family', ' Sci-Fi']",93.0,5.3,37.0,90036.0
True Love,2023.0,,"['Drama', ' Romance', ' Sci-Fi']",,,,
Massacre Brutal,1981.0,R,"['Horror', ' Mystery', ' Sci-Fi']",87.0,5.6,,2039.0
Zenon: Girl of the 21st Century,1999.0,G,"['Adventure', ' Comedy', ' Family']",97.0,6.3,,7735.0
Godzilla,1954.0,NR,"['Horror', ' Sci-Fi']",96.0,7.5,78.0,34207.0
Mortal Kombat: Annihilation,1997.0,PG-13,"['Action', ' Adventure', ' Fantasy']",95.0,3.6,11.0,55081.0
Sphere,1998.0,PG-13,"['Action', ' Mystery', ' Sci-Fi']",134.0,6.1,35.0,107085.0
Come True,2020.0,NR,"['Horror', ' Sci-Fi']",105.0,6.0,68.0,9102.0
Big Bug,2022.0,NC-17,"['Comedy', ' Sci-Fi']",111.0,5.5,46.0,8150.0
Mr. Peabody & Sherman,2014.0,PG,"['Animation', ' Adventure', ' Comedy']",92.0,6.8,59.0,70834.0
The Signal,2007.0,R,"['Horror', ' Sci-Fi', ' Thriller']",103.0,6.0,63.0,21340.0
Aliens in the Attic,2009.0,PG,"['Adventure', ' Comedy', ' Family']",86.0,5.4,42.0,22553.0
Timecop,1994.0,R,"['Action', ' Crime', ' Sci-Fi']",99.0,5.9,48.0,60190.0
Battle Beyond the Stars,1980.0,PG,"['Action', ' Adventure', ' Sci-Fi']",104.0,5.5,59.0,9270.0
Injustice,2021.0,R,"['Animation', ' Action', ' Adventure']",78.0,6.3,,12566.0
The Hot Zone,2019.0,PG-13,"['Drama', ' History', ' Sci-Fi']",45.0,7.3,,9015.0
Captain Underpants: The First Epic Movie,2017.0,PG,"['Animation', ' Action', ' Adventure']",89.0,6.2,69.0,28867.0
Deep Throat Part II,1974.0,R,"['Comedy', ' Sci-Fi']",88.0,3.8,,587.0
Spaceman,2023.0,,"['Adventure', ' Drama', ' Sci-Fi']",,,,
The Flintstones in Viva Rock Vegas,2000.0,PG,"['Comedy', ' Family', ' Romance']",90.0,3.7,27.0,23844.0
The Hungover Games,2014.0,R,"['Adventure', ' Comedy', ' Fantasy']",85.0,3.5,,15677.0
Timecrimes,2007.0,R,"['Horror', ' Mystery', ' Sci-Fi']",92.0,7.1,68.0,64246.0
The Animal,2001.0,PG-13,"['Comedy', ' Sci-Fi']",84.0,4.8,43.0,60663.0
Black Panther: Origins,2020.0,,"['Short', ' Action', ' Adventure']",,5.9,,396.0
Little Monsters,2019.0,R,"['Comedy', ' Horror', ' Sci-Fi']",93.0,6.3,59.0,17545.0
Next Exit,2022.0,,"['Comedy', ' Mystery', ' Romance']",106.0,7.0,58.0,106.0
Mac and Me,1988.0,PG,"['Adventure', ' Comedy', ' Family']",99.0,3.3,26.0,14630.0
Forever Young,1992.0,PG,"['Drama', ' Romance', ' Sci-Fi']",102.0,6.3,,47791.0
Darling in the Franxx,2018.0,PG-13,"['Animation', ' Action', ' Drama']",24.0,7.4,,10214.0
Live Die Repeat and Repeat,,,"['Action', ' Adventure', ' Sci-Fi']",,,,
Serial Experiments Lain,1998.0,PG-13,"['Animation', ' Drama', ' Horror']",316.0,8.1,,13982.0
Starcrash,1978.0,PG,"['Action', ' Adventure', ' Sci-Fi']",92.0,3.9,,7308.0
Darkman,1990.0,R,"['Action', ' Sci-Fi', ' Thriller']",96.0,6.4,65.0,65105.0
Weird Science,1994.0,PG,"['Comedy', ' Fantasy', ' Sci-Fi']",30.0,6.8,,3722.0
I'm Totally Fine,2022.0,,"['Comedy', ' Drama', ' Sci-Fi']",,,,
Cube Zero,2004.0,R,"['Drama', ' Mystery', ' Sci-Fi']",97.0,5.6,,40608.0
Slave Girls from Beyond Infinity,1987.0,R,"['Action', ' Adventure', ' Comedy']",74.0,4.4,,1754.0
Saturn 3,1980.0,R,"['Adventure', ' Horror', ' Sci-Fi']",88.0,5.1,9.0,9627.0
Fantastic Voyage,1966.0,PG,"['Adventure', ' Family', ' Sci-Fi']",100.0,6.8,72.0,19119.0
Alien,,NC-17,"['Horror', ' Sci-Fi', ' Thriller']",,,,
Black Mirror: Bandersnatch,2018.0,NC-17,"['Drama', ' Fantasy', ' Mystery']",90.0,7.1,,126741.0
Next,2020.0,PG-13,"['Crime', ' Drama', ' Sci-Fi']",,6.7,,5133.0
Gurren Lagann,2007.0,PG-13,"['Animation', ' Action', ' Adventure']",24.0,8.3,,18316.0
*batteries not included,1987.0,PG,"['Comedy', ' Family', ' Fantasy']",106.0,6.6,54.0,35785.0
V-Wars,2019.0,NC-17,"['Drama', ' Horror', ' Sci-Fi']",60.0,6.0,,14028.0
2:22,2017.0,PG-13,"['Drama', ' Mystery', ' Romance']",98.0,5.7,,23631.0
The Flash,1990.0,PG,"['Action', ' Crime', ' Fantasy']",48.0,7.1,,7430.0
Almost Human,2013.0,PG-13,"['Action', ' Crime', ' Drama']",60.0,7.9,,50441.0
The Avengers,1998.0,PG-13,"['Action', ' Adventure', ' Sci-Fi']",89.0,3.8,12.0,43996.0
The First,2018.0,NC-17,"['Drama', ' Sci-Fi']",45.0,6.6,,7852.0
My Stepmother Is an Alien,1988.0,PG-13,"['Comedy', ' Sci-Fi']",105.0,5.4,47.0,26637.0
Prophecy,1979.0,PG,"['Horror', ' Sci-Fi', ' Thriller']",102.0,5.5,41.0,5439.0
Supernova,2000.0,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",90.0,4.8,19.0,18188.0
The Curse of Frankenstein,1957.0,G,"['Horror', ' Sci-Fi', ' Thriller']",82.0,7.0,59.0,11354.0
Knights of the Zodiac,2023.0,,"['Action', ' Adventure', ' Drama']",,,,
Saturday the 14th,1981.0,PG,"['Comedy', ' Fantasy', ' Horror']",75.0,4.6,13.0,4435.0
The Final Countdown,1980.0,PG,"['Action', ' Adventure', ' Sci-Fi']",103.0,6.6,51.0,24212.0
Caprica,2009.0,PG-13,"['Action', ' Drama', ' Sci-Fi']",60.0,7.1,,25357.0
Split Second,1992.0,R,"['Action', ' Crime', ' Horror']",90.0,6.0,26.0,15127.0
